state       dE(eV)    f    H_1    E_1    H_2    E_2    H_3    E_3
------------------------------------------------------------------
1(1)A       2.947  0.148  0.922  0.955  0.070  0.005  0.008  0.041
2(1)A       3.347  0.003  0.088  0.956  0.908  0.004  0.004  0.040
3(1)A       3.538  0.163  0.940  0.955  0.034  0.005  0.026  0.040
4(1)A       4.046  0.513  0.931  0.969  0.051  0.009  0.019  0.022
5(1)A       4.251  0.018  0.214  0.957  0.775  0.004  0.011  0.039
6(1)A       4.330  0.078  0.195  0.974  0.793  0.006  0.012  0.020
7(1)A       4.425  0.038  0.813  0.971  0.156  0.006  0.031  0.024
8(1)A       4.517  0.426  0.899  0.958  0.044  0.006  0.057  0.037
9(1)A       4.888  0.001  0.706  0.958  0.179  0.004  0.115  0.037
10(1)A      5.028  0.503  0.779  0.965  0.066  0.007  0.155  0.028
11(1)A      5.070  0.131  0.242  0.957  0.033  0.005  0.725  0.038
12(1)A      5.228  0.073  0.234  0.975  0.742  0.006  0.024  0.018
13(1)A      5.272  0.017  0.247  0.956  0.068  0.004  0.685  0.039
14(1)A      5.311  0.064  0.453  0.956  0.039  0.006  0.508  0.038
15(1)A      5.404  0.034  0.466  0.960  0.219  0.007  0.315  0.033
16(1)A      5.432  0.029  0.232  0.964  0.617  0.006  0.152  0.030
17(1)A      5.484  0.103  0.765  0.950  0.126  0.014  0.109  0.037
18(1)A      5.597  0.006  0.213  0.954  0.041  0.005  0.746  0.041
19(1)A      5.754  0.647  0.804  0.958  0.143  0.010  0.052  0.032
20(1)A      5.840  0.032  0.699  0.970  0.169  0.008  0.133  0.022
