state       dE(eV)    f     Om   POSi   POSf     PR     CT     MC     LC   MLCT   LMCT   LLCT  RMSeh
-----------------------------------------------------------------------------------------------------
1(1)A       2.947  0.148  1.000  1.086  1.086  1.133  0.118  0.881  0.001  0.041  0.074  0.003  4.232
2(1)A       3.347  0.003  1.000  1.916  1.084  1.146  0.912  0.084  0.004  0.004  0.872  0.036  5.344
3(1)A       3.538  0.163  1.000  1.086  1.085  1.112  0.099  0.899  0.002  0.042  0.056  0.001  3.988
4(1)A       4.046  0.513  1.000  1.088  1.053  1.107  0.094  0.904  0.002  0.027  0.065  0.002  3.689
5(1)A       4.251  0.018  1.000  1.797  1.082  1.318  0.791  0.205  0.004  0.009  0.752  0.031  4.281
6(1)A       4.330  0.078  1.000  1.817  1.046  1.277  0.806  0.189  0.005  0.007  0.786  0.014  5.220
7(1)A       4.425  0.038  1.000  1.218  1.053  1.259  0.210  0.788  0.002  0.024  0.182  0.003  4.111
8(1)A       4.517  0.426  1.000  1.158  1.079  1.159  0.134  0.862  0.003  0.036  0.095  0.003  3.651
9(1)A       4.888  0.001  1.000  1.409  1.079  1.463  0.317  0.677  0.005  0.029  0.281  0.007  4.148
10(1)A      5.028  0.503  1.000  1.376  1.064  1.324  0.239  0.754  0.007  0.026  0.211  0.003  3.682
11(1)A      5.070  0.131  1.000  2.484  1.081  1.400  0.739  0.232  0.029  0.010  0.725  0.004  4.205
12(1)A      5.228  0.073  1.000  1.790  1.043  1.350  0.767  0.228  0.005  0.007  0.748  0.013  4.280
13(1)A      5.272  0.017  1.000  2.438  1.083  1.481  0.735  0.237  0.028  0.010  0.720  0.006  4.292
14(1)A      5.311  0.064  1.000  2.055  1.083  1.622  0.543  0.435  0.022  0.018  0.521  0.004  4.018
15(1)A      5.404  0.034  1.000  1.849  1.074  1.915  0.540  0.446  0.014  0.019  0.513  0.007  4.229
16(1)A      5.432  0.029  1.000  1.920  1.066  1.632  0.767  0.223  0.010  0.008  0.741  0.017  4.893
17(1)A      5.484  0.103  1.000  1.343  1.087  1.369  0.268  0.726  0.005  0.039  0.223  0.006  3.785
18(1)A      5.597  0.006  1.000  2.534  1.087  1.376  0.766  0.203  0.031  0.010  0.751  0.005  4.716
19(1)A      5.754  0.647  1.000  1.248  1.074  1.290  0.222  0.774  0.005  0.031  0.185  0.006  3.887
20(1)A      5.840  0.032  1.000  1.434  1.052  1.467  0.318  0.678  0.004  0.021  0.292  0.005  4.026
