state       dE(eV)    f     Om   POSi   POSf     PR     CT     MC     LC   MLCT   LMCT   LLCT  RMSeh
-----------------------------------------------------------------------------------------------------
1(1)A       2.947  0.148  1.000  1.545  2.144  1.259  0.851  0.196  0.103  0.690  0.060  0.101  4.232
2(1)A       3.347  0.003  1.000  2.950  1.925  1.357  0.997  0.017  0.019  0.052  0.213  0.732  5.344
3(1)A       3.538  0.163  1.000  1.530  2.000  1.538  0.710  0.191  0.191  0.564  0.089  0.057  3.988
4(1)A       4.046  0.513  1.000  1.575  1.784  1.344  0.607  0.498  0.071  0.414  0.133  0.060  3.689
5(1)A       4.251  0.018  1.000  2.948  1.927  1.382  0.987  0.024  0.029  0.053  0.216  0.718  4.281
6(1)A       4.330  0.078  1.000  2.889  1.651  1.562  0.990  0.051  0.033  0.098  0.497  0.394  5.220
7(1)A       4.425  0.038  1.000  1.834  1.745  1.779  0.683  0.337  0.101  0.331  0.220  0.133  4.111
8(1)A       4.517  0.426  1.000  1.750  1.951  1.781  0.625  0.196  0.270  0.413  0.122  0.090  3.651
9(1)A       4.888  0.001  1.000  2.556  1.876  2.317  0.825  0.067  0.142  0.164  0.208  0.453  4.148
10(1)A      5.028  0.503  1.000  2.063  1.743  1.665  0.566  0.473  0.127  0.217  0.185  0.163  3.682
11(1)A      5.070  0.131  1.000  3.467  1.923  1.652  0.897  0.107  0.062  0.104  0.190  0.603  4.205
12(1)A      5.228  0.073  1.000  3.034  1.662  1.487  1.008  0.044  0.025  0.051  0.497  0.460  4.280
13(1)A      5.272  0.017  1.000  3.434  1.923  1.745  0.908  0.039  0.086  0.104  0.191  0.613  4.292
14(1)A      5.311  0.064  1.000  2.956  1.936  2.071  0.798  0.119  0.158  0.180  0.185  0.433  4.018
15(1)A      5.404  0.034  1.000  2.760  1.753  2.514  0.791  0.196  0.100  0.136  0.306  0.350  4.229
16(1)A      5.432  0.029  1.000  3.101  1.660  1.672  0.957  0.114  0.057  0.067  0.553  0.336  4.893
17(1)A      5.484  0.103  1.000  2.047  1.726  1.923  0.641  0.385  0.099  0.231  0.246  0.164  3.785
18(1)A      5.597  0.006  1.000  3.569  1.944  1.612  0.895  0.034  0.111  0.068  0.193  0.634  4.716
19(1)A      5.754  0.647  1.000  1.930  1.690  1.662  0.599  0.441  0.117  0.232  0.267  0.100  3.887
20(1)A      5.840  0.032  1.000  2.564  1.650  2.504  0.755  0.163  0.138  0.098  0.359  0.299  4.026
