mode,HR-factor,Freq (cm-1)
1,0.001,27.14
2,0.001,10.11
3,0.001,27.92
4,0.009,30.95
5,0.005,42.86
6,0.02,55.21
7,0,57.71
8,0,61.25
9,0.022,66.41
10,0.009,78.56
11,0.014,82.83
12,0,94.84
13,0.032,105.2
14,0.003,124.78
15,0.054,132.04
16,0.105,146.27
17,0.017,163.53
18,0.013,185.36
19,0.544,189.88
20,0.042,214.4
21,0.239,221.59
22,0.087,240.93
23,0.039,245.1
24,0.021,261.32
25,0,275.05
26,0.6,287.76
27,0.108,302.16
28,0.466,325.13
29,1.238,342.83
30,0.187,361.43
31,0.479,369.18
32,0.692,383.95
33,0,408.89
34,2.223,426.49
35,0.008,441.39
36,0.005,456.37
37,0.104,464.85
38,0.003,484.21
39,0.348,499.35
40,0.04,513.66
41,0.164,528.18
42,0.641,539.49
43,0.156,553.44
44,0.005,562.62
45,2.765,596.64
46,0.017,623.66
47,0.112,636.8
48,0.5,678.26
49,0.077,707.77
50,0.111,720.02
51,0.026,728.34
52,0.525,734.46
53,0.093,761.48
54,0.093,766.74
55,0.038,793.41
56,0.17,796.34
57,0.057,802.7
58,0,813.37
59,0.001,816.18
60,0.006,828.11
61,0.418,849.89
62,0.395,860.08
63,0.058,917.62
64,0.253,942.64
65,0.021,950.15
66,0.045,952.81
67,0.058,959.04
68,0,976.94
69,0.003,981.49
70,0.029,986.9
71,0,998.01
72,0,1004.46
73,0,1030.79
74,0.426,1051.6
75,0.024,1074.15
76,0.006,1085.38
77,0.065,1097.55
78,0.002,1107.46
79,0.075,1112.95
80,0,1116.54
81,0.008,1121.65
82,0,1122.95
83,0.065,1160.09
84,0.038,1170.58
85,0,1175.71
86,0.019,1181.04
87,0.001,1187.79
88,0.001,1197.1
89,0.517,1206.84
90,0.427,1243.71
91,0.007,1247.02
92,0.377,1268.15
93,0.057,1269.96
94,0.397,1281.15
95,0,1315.15
96,0.001,1318.43
97,0.49,1340.53
98,0.089,1367.46
99,1.68,1380.1
100,0.193,1394
101,0,1399.4
102,0.008,1401.68
103,0.007,1411.68
104,0.064,1416.84
105,0.004,1418.45
106,0.03,1441.38
107,0.002,1443.19
108,0.019,1455.84
109,0.059,1461.52
110,0.002,1469.46
111,0.001,1470.95
112,0,1474.27
113,0.014,1480.57
114,0.036,1480.69
115,0.001,1483.26
116,0.006,1488.06
117,0.139,1494.29
118,0.001,1506.85
119,0,1510.33
120,0.118,1514.41
121,0.585,1532.06
122,0.049,1550.99
123,0.074,1572.24
124,0.61,1590.86
125,0.022,1603.12
126,0.734,1725.21
127,0,3036.03
128,0.018,3037.02
129,0.001,3040.48
130,0.002,3041.91
131,0,3069.46
132,0.002,3074.26
133,0.13,3103.18
134,0.077,3104.78
135,0.006,3105.17
136,0.003,3108.89
137,0.002,3110.16
138,0.001,3114.06
139,0,3133.44
140,0.001,3134.3
141,0,3175.77
142,0.257,3197.55
143,0,3201.06
144,0,3204.96
145,0.001,3210.68
146,0.003,3215.63
147,0.002,3222.45
148,0.001,3230.15
149,0,3231.57
150,0.01,3252.2
