mode,HR-factor,Freq (cm-1)
1,0.002,27.79
2,0,29.8
3,0.001,60.69
4,0,64.93
5,0.001,69.55
6,0,90.44
7,0.002,124.96
8,0,131.82
9,0,159.51
10,0.003,182.39
11,0.004,187.55
12,0.127,211.53
13,0.007,255.61
14,0,273.39
15,0,296.55
16,0.006,320.73
17,0.067,341.01
18,0.035,361.01
19,0.005,369.53
20,0.052,400.35
21,0.004,420.68
22,0.05,454.36
23,0.008,464.26
24,0.003,476.09
25,0.013,487.26
26,0.114,506.92
27,0.046,530.33
28,0.002,543.6
29,0.001,559.48
30,0.005,586
31,0.005,600.06
32,0,610.51
33,0.049,612.84
34,0.013,634.17
35,0.05,656.89
36,0.061,696.03
37,0.004,705.4
38,0.049,724.88
39,0.111,738.68
40,0.002,774.69
41,0.001,786.97
42,0.001,800.53
43,0.17,805.29
44,0,854.68
45,0.004,866.73
46,0.008,877.17
47,0.011,889.33
48,0,897.31
49,0.001,906.27
50,0.001,921.1
51,0.002,937.11
52,0.02,951.59
53,0.021,972.6
54,0.152,984.36
55,0.005,996.41
56,0.045,1028.32
57,0.078,1029.09
58,0.005,1038.83
59,0.003,1050.04
60,0.017,1060.61
61,0.001,1079.2
62,0,1088.96
63,0,1097.5
64,0.003,1105.45
65,0.001,1122.86
66,0.001,1148.73
67,0,1189.37
68,0.003,1200.15
69,0.132,1208.52
70,0,1212.64
71,0,1229.44
72,0.012,1232.84
73,0.002,1236.25
74,0.058,1267.47
75,0.003,1293.45
76,0.06,1307.18
77,0.047,1310.33
78,0.13,1318.89
79,0.007,1342.09
80,0,1347.05
81,0.061,1352.67
82,0.001,1356.71
83,0.002,1379.97
84,0.205,1383.81
85,0,1386.65
86,0.029,1392.79
87,0.003,1400.71
88,0.036,1439.57
89,0.023,1447.03
90,0.002,1457.77
91,0,1459.68
92,0.005,1470.5
93,0,1473.1
94,0,1476.33
95,0,1484.24
96,0,1485.57
97,0.002,1493.25
98,0,1512.06
99,0,1533.33
100,0.075,1577.51
101,0.036,1594.48
102,0.067,1647.48
103,0.57,1676.71
104,0.037,1726.12
105,0,3014.88
106,0,3018.28
107,0,3024.04
108,0,3031.84
109,0,3052.38
110,0,3055.76
111,0,3096.27
112,0,3102.57
113,0,3106.22
114,0,3108.74
115,0,3114.99
116,0,3132.07
117,0,3194.73
118,0,3196.22
119,0,3199.6
120,0.003,3234.38
121,0,3238.98
122,0,3246.04
123,0.015,3658.72
